"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"101",2014-05-26,"research","Salto","Ardea cocoi","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cocoi",c(413340.441688173, 6540137.14093036)
"102",2015-01-28,"research","Cerro Largo","Icterus pyrrhopterus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus pyrrhopterus",c(765975.802315265, 6413394.73556901)
"103",2015-01-26,"research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(406881.333615587, 6502321.73229717)
"104",2015-02-20,"research","Tacuarembó","Eptesicus diminutus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus diminutus",c(552382.355845892, 6396027.53351016)
"105",2016-07-18,"research","Colonia","Tigrisoma lineatum","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Tigrisoma","Tigrisoma lineatum",c(419185.929484124, 6189024.0306013)
"106",2016-07-17,"research","Río Negro","Aramides ypecaha","Animalia","Chordata","Aves","Gruiformes","Rallidae","Aramides","Aramides ypecaha",c(403928.979501537, 6399998.21614541)
"107",2016-07-18,"research","Colonia","Hymenops perspicillatus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Hymenops","Hymenops perspicillatus",c(419185.929484124, 6189024.0306013)
"108",2016-07-18,"research","Colonia","Milvago chimango","Animalia","Chordata","Aves","Falconiformes","Falconidae","Milvago","Milvago chimango",c(426953.543670181, 6185685.80241595)
"109",2016-07-18,"research","Colonia","Caracara plancus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus",c(426953.543670181, 6185685.80241595)
"110",2016-07-18,"research","Colonia","Caracara plancus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus",c(420911.174549501, 6188314.6825237)
"111",2016-07-18,"research","Colonia","Charadrius collaris","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius collaris",c(426953.543670181, 6185685.80241595)
"112",2016-07-17,"research","Río Negro","Rupornis magnirostris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Rupornis","Rupornis magnirostris",c(403928.979501537, 6399998.21614541)
"113",2016-07-18,"research","Colonia","Vanellus chilensis","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus chilensis",c(419185.929484124, 6189024.0306013)
"114",2016-07-19,"research","Colonia","Furnarius rufus","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Furnarius","Furnarius rufus",c(380420.807333716, 6235886.80549161)
"115",2016-07-19,"research","Colonia","Chroicocephalus maculipennis","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus maculipennis",c(380420.807333716, 6235886.80549161)
"116",2016-08-21,"research","Paysandú","Athene cunicularia","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia",c(404917.173446988, 6423153.64847841)
"117",2016-08-24,"research","Colonia","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",c(447384.018687125, 6215248.57078928)
"118",2015-01-25,"research","Paysandú","Chauna torquata","Animalia","Chordata","Aves","Anseriformes","Anhimidae","Chauna","Chauna torquata",c(416227.284691827, 6477004.85235418)
