"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"75",2019-02-02,"research","Maldonado","Mimosa australis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa australis",c(657592.614784017, 6141273.15048725)
"76",2019-02-02,"research","Maldonado","Grazielia serrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Grazielia","Grazielia serrata",c(659413.952735378, 6146287.10823174)
"77",2018-10-02,"research","Río Negro","Calibrachoa pygmaea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Calibrachoa","Calibrachoa pygmaea",c(400502.293387203, 6400143.22289995)
"78",2019-02-14,"research","Río Negro","Solidago chilensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Solidago","Solidago chilensis",c(400964.543169257, 6401519.8323228)
"79",2019-02-14,"research","Río Negro","Chromolaena hirsuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena","Chromolaena hirsuta",c(401150.779972026, 6401632.91322875)
"80",2019-02-15,"research","Río Negro","Datura ferox","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Datura","Datura ferox",c(402445.325379203, 6400502.36014)
"81",2019-02-14,"research","Río Negro","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Elephantopus","Elephantopus mollis",c(400896.323596865, 6401479.4285124)
"82",2018-10-27,"research","Montevideo","Calliandra tweediei","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Calliandra","Calliandra tweediei",c(573091.884423025, 6142244.27623834)
"83",2017-03-12,"research","Lavalleja","Cynara cardunculus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cynara","Cynara cardunculus",c(659349.554852467, 6204565.77127118)
"84",2016-12-16,"research","Montevideo","Solanum mauritianum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum mauritianum",c(585638.568608648, 6140553.54346912)
"85",2019-02-19,"research","Maldonado","Hypochaeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata",c(655390.959420706, 6145172.50656466)
"86",2019-03-03,"research","Canelones","Solidago chilensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Solidago","Solidago chilensis",c(543846.363507994, 6153577.5677294)
