"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"176","esoojins","2019-01-09 19:54:56 UTC","2019-01-09 19:57:37 UTC",2,1.00186342592593,1.99628007994362,"principiante"
"177","estrella_montalibet","2021-01-27 23:02:00 UTC","2021-01-27 23:02:00 UTC",1,1,1,"principiante"
"178","ezequielvera","2017-10-15 12:13:27 UTC","2021-08-04 18:31:09 UTC",16,1390.26229166667,0.0115086197014083,"principiante"
"179","fabio_mayer","2021-09-26 20:46:16 UTC","2021-09-26 21:00:20 UTC",9,1.00976851851852,8.91293384072257,"principiante"
"180","fabio_olmos","2022-02-10 18:13:11 UTC","2022-02-10 18:13:12 UTC",2,1.00001157407407,1.99997685211977,"principiante"
"181","fabrizio63","2019-05-17 01:06:11 UTC","2019-05-17 01:06:11 UTC",1,1,1,"principiante"
"182","facundo13","2022-10-11 19:09:42 UTC","2022-10-11 19:09:42 UTC",1,1,1,"principiante"
"183","fattigatti","2019-03-05 15:05:00 UTC","2019-03-05 15:05:00 UTC",1,1,1,"principiante"
"184","fede_carjuzaa","2021-01-26 04:57:55 UTC","2021-01-26 04:57:55 UTC",1,1,1,"principiante"
"185","felipebuquet","2020-02-22 19:33:59 UTC","2020-02-22 19:33:59 UTC",1,1,1,"principiante"
"186","fernando664","2020-11-26 18:11:55 UTC","2020-11-26 18:11:55 UTC",1,1,1,"principiante"
"187","flor111","2021-12-19 19:35:17 UTC","2021-12-19 19:35:17 UTC",1,1,1,"principiante"
"188","fontoto","2020-03-26 01:37:54 UTC","2020-03-26 01:37:54 UTC",1,1,1,"principiante"
"189","francihahn","2020-02-11 23:42:22 UTC","2020-02-11 23:42:22 UTC",1,1,1,"principiante"
"190","franciscoprado","2019-01-29 22:47:32 UTC","2021-05-17 17:31:49 UTC",2,839.780752314815,0.00238157399355379,"principiante"
"191","francoprimavesi","2022-02-23 23:03:53 UTC","2022-02-25 12:15:24 UTC",3,2.54966435185185,1.17662546359134,"principiante"
"192","frangtaboas","2020-02-23 01:29:11 UTC","2020-02-23 01:29:18 UTC",8,1.00008101851852,7.9993519043596,"principiante"
"193","frankowietcz","2022-10-27 16:26:47 UTC","2022-10-28 16:11:14 UTC",40,1.98920138888889,20.1085723262755,"principiante"
"194","fransustaita","2021-06-24 15:25:44 UTC","2021-06-24 15:25:44 UTC",1,1,1,"principiante"
"195","frbrvmrt","2022-09-24 18:33:47 UTC","2022-09-24 18:33:47 UTC",1,1,1,"principiante"
"196","fvaldesp_tutor","2019-05-28 19:14:47 UTC","2019-05-28 19:14:55 UTC",10,1.00009259259259,9.99907415980002,"principiante"
"197","gabriel_moulatlet","2017-09-27 11:51:49 UTC","2017-09-27 11:51:49 UTC",1,1,1,"principiante"
"198","gabrielhgs","2022-02-05 18:41:34 UTC","2022-02-05 18:41:34 UTC",1,1,1,"principiante"
"199","gantproductions","2014-04-27 02:17:25 UTC","2022-02-01 15:06:21 UTC",48,2838.53398148148,0.0169101375263255,"principiante"
"200","geopro777","2017-01-15 16:10:50 UTC","2018-04-04 16:00:06 UTC",4,444.992546296296,0.00898891460832833,"principiante"
"201","gera5","2019-04-02 12:05:16 UTC","2019-04-02 12:05:16 UTC",1,1,1,"principiante"
"202","ggroitman","2021-05-05 15:13:52 UTC","2021-05-05 15:13:52 UTC",1,1,1,"principiante"
"203","gime30stm","2020-08-05 22:06:08 UTC","2020-08-05 22:06:08 UTC",1,1,1,"principiante"
"204","giuliano_mb","2020-10-11 13:09:27 UTC","2020-10-11 13:09:27 UTC",1,1,1,"principiante"
"205","goldengator42849","2020-06-21 18:28:30 UTC","2021-12-13 20:00:14 UTC",11,541.063703703704,0.020330323258985,"principiante"
"206","goncrisdi","2018-12-04 03:48:02 UTC","2022-09-15 14:25:43 UTC",135,1382.44283564815,0.0976532240746911,"principiante"
"207","gonsaro","2019-05-02 03:19:08 UTC","2020-05-30 02:07:47 UTC",14,394.950451388889,0.035447484490187,"principiante"
"208","gonzalomios","2018-04-29 00:31:25 UTC","2018-04-29 00:36:37 UTC",4,1.00361111111111,3.98560752836978,"principiante"
"209","greenwarlock","2019-03-05 11:23:49 UTC","2020-07-05 13:49:25 UTC",4,489.101111111111,0.00817826806999689,"principiante"
"210","guada2","2019-01-30 15:25:29 UTC","2019-01-30 15:25:29 UTC",1,1,1,"principiante"
"211","guidocarini","2019-01-15 20:22:36 UTC","2019-01-15 20:22:36 UTC",1,1,1,"principiante"
"212","guille","2012-06-04 14:07:53 UTC","2020-02-01 22:14:23 UTC",29,2799.33784722222,0.0103595927261072,"principiante"
"213","guillermo126","2020-07-29 19:42:41 UTC","2020-07-29 19:42:41 UTC",1,1,1,"principiante"
"214","guillermo171","2020-08-05 18:19:23 UTC","2020-08-05 19:21:20 UTC",3,1.04302083333333,2.87626086088085,"principiante"
"215","gussoni","2021-04-19 21:24:01 UTC","2021-04-19 21:24:03 UTC",2,1.00002314814815,1.99995370477535,"principiante"
"216","gustavopuente","2020-07-22 00:28:53 UTC","2021-09-20 10:31:45 UTC",3,426.418657407407,0.0070353394437283,"principiante"
"217","hchavez","2020-05-09 09:06:56 UTC","2020-05-09 09:06:59 UTC",4,1.00003472222222,3.99986111593347,"principiante"
"218","heatherspence","2018-11-21 14:44:13 UTC","2018-11-21 14:44:13 UTC",1,1,1,"principiante"
"219","hector_de_la_quintana","2021-07-25 17:04:58 UTC","2021-07-25 17:04:58 UTC",1,1,1,"principiante"
"220","hernntolosa","2022-01-12 01:37:45 UTC","2022-05-15 19:34:02 UTC",2,124.747418981481,0.0160323958309462,"principiante"
"221","hoiman01","2021-04-19 14:03:34 UTC","2021-04-19 14:18:38 UTC",4,1.01046296296296,3.95858150829286,"principiante"
"222","honguitos","2020-10-19 12:42:27 UTC","2020-10-19 12:42:27 UTC",1,1,1,"principiante"
