"","id","observado","user_id","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","usuario","nivel","ranking"
"14662",128916784,"2022-07-30",5141848,-34.8692927916,-55.0784803961,"Maldonado","Hydrochoerus hydrochaeris","Mammalia","Caviidae",19,115,"LC","NT","santiagoramos","intermedio",15
"14663",128916786,"2022-07-30",5141848,-34.8672012914,-55.0745172236,"Maldonado","Phylloscartes ventralis","Aves","Tyrannidae",19,10,"LC","LC","santiagoramos","intermedio",15
"14664",128916787,"2022-07-30",5141848,-34.8641840262,-55.0718641112,"Maldonado","Chloroceryle amazona","Aves","Alcedinidae",19,26,"LC","LC","santiagoramos","intermedio",15
"14665",128916788,"2022-07-31",5141848,-34.8391034439,-55.9578184426,"Canelones","Arctocephalus australis","Mammalia","Otariidae",7,150,"LC","LC","santiagoramos","intermedio",15
"14666",128916789,"2022-07-31",5141848,-34.8398570782,-55.9571884076,"Canelones","Macronectes giganteus","Aves","Procellariidae",6,95,"LC","LC","santiagoramos","intermedio",15
"14667",128916792,"2022-01-12",5141848,-34.9143904832,-55.0468856371,"Maldonado","Anthus lutescens","Aves","Motacillidae",19,12,"LC","LC","santiagoramos","intermedio",15
"14668",129002181,"2022-07-31",1661153,-34.907104958,-55.0356279071,"Maldonado","Anthracothorax nigricollis","Aves","Trochilidae",4,9,"LC","NE","msilvera","experimentado",2
"14669",129002184,"2022-07-31",1661153,-34.7718358202,-55.8219238199,"Canelones","Florisuga fusca","Aves","Trochilidae",14,9,"LC","LC","msilvera","experimentado",2
"14670",129013870,"2022-07-23",5284022,-30.2609293,-57.5929166,"Artigas","Patagioenas picazuro","Aves","Columbidae",19,35,"LC","LC",NA,NA,NA
"14671",129063297,"2022-07-31",4413147,-31.3485111645,-55.0190229714,"Rivera","Xolmis irupero","Aves","Tyrannidae",19,17,"LC","LC","adriana_machado","intermedio",39
"14672",129063502,"2022-07-30",4413147,-31.3484530391,-55.0189334527,"Rivera","Piranga flava","Aves","Cardinalidae",19,17,"LC","LC","adriana_machado","intermedio",39
"14673",129079598,"2022-07-29",2669955,-34.6791287344,-55.8603257716,"Canelones","Caretta caretta","Reptilia","Cheloniidae",4,80,"VU","VU","saltito","intermedio",51
"14674",129084643,"2022-08-01",5262894,-34.4640848092,-54.1599819862,"Rocha","Amazonetta brasiliensis","Aves","Anatidae",19,36,"LC","LC","pequirippa","intermedio",41
"14675",129099733,"2022-07-30",3327535,-34.8819732438,-55.162021257,"Maldonado","Macronectes giganteus","Aves","Procellariidae",6,95,"LC","LC","antoniourugwild","principiante",581
"14676",129124976,"2022-08-01",3266129,-30.533426,-57.71109,"Artigas","Serpophaga griseicapilla","Aves","Tyrannidae",19,9,"LC","NE","marco-ferreira","principiante",211
"14677",129126318,"2021-11-20",3266129,-30.533473,-57.710943,"Artigas","Xenopsaris albinucha","Aves","Tityridae",3,13,"LC","NE","marco-ferreira","principiante",211
"14678",129128866,"2021-10-14",3266129,-30.533446,-57.710999,"Artigas","Dendrocygna autumnalis","Aves","Anatidae",9,41,"LC","NE","marco-ferreira","principiante",211
"14679",129154530,"2022-07-31",5746452,-34.4592280275,-56.8984531984,"San José","Serpophaga subcristata","Aves","Tyrannidae",19,9,"LC","LC",NA,NA,NA
"14680",129186786,"2022-07-31",2437064,-34.6566177645,-54.1954493523,"Rocha","Anthracothorax nigricollis","Aves","Trochilidae",4,9,"LC","NE","martzz","intermedio",17
"14681",129188253,"2022-08-02",5434555,-34.8516693056,-55.3041114722,"Maldonado","Egretta thula","Aves","Ardeidae",19,39,"LC","LC","elena_26","intermedio",16
"14682",129188538,"2022-08-02",5434555,-34.9838906819,-55.3138705543,"Maldonado","Caretta caretta","Reptilia","Cheloniidae",4,80,"VU","VU","elena_26","intermedio",16
"14683",129220214,"2022-08-01",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Turdus amaurochalinus","Aves","Turdidae",19,21,"LC","LC","luisvescia","intermedio",3
"14684",129220268,"2022-08-01",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Leptotila verreauxi","Aves","Columbidae",19,26,"LC","LC","luisvescia","intermedio",3
"14685",129220300,"2022-08-02",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Myiopsitta monachus","Aves","Psittacidae",19,27,"LC","LC","luisvescia","intermedio",3
"14686",129220329,"2022-08-01",5266364,-32.3661519544,-54.1885828972,"Cerro Largo","Theristicus caerulescens","Aves","Threskiornithidae",19,62,"LC","LC","luisvescia","intermedio",3
