"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"162","research","Maldonado","Odontophrynus americanus","Animalia","Chordata","Amphibia","Anura","Odontophrynidae","Odontophrynus"
"163","research","Colonia","Spinus magellanicus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus"
"164","research","Colonia","Podiceps major","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps"
"165","research","Colonia","Leptodactylus luctator","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus"
"166","research","Colonia","Thamnophilus ruficapillus","Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","Thamnophilus"
"167","research","Colonia","Calidris melanotos","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris"
"168","research","Colonia","Megascops choliba","Animalia","Chordata","Aves","Strigiformes","Strigidae","Megascops"
"169","research","Colonia","Hydropsalis torquata","Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Hydropsalis"
"170","research","Colonia","Lepus europaeus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus"
"171","research","Colonia","Chrysomus ruficapillus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Chrysomus"
"172","research","Colonia","Gallinago paraguaiae","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago"
"173","research","Colonia","Rauenia bonariensis","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Rauenia"
"174","research","Durazno","Ixobrychus involucris","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ixobrychus"
"175","research","Maldonado","Amphisbaena kingii","Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena"
"176","research","Maldonado","Eubalaena australis","Animalia","Chordata","Mammalia","Artiodactyla","Balaenidae","Eubalaena"
"177","research","Maldonado","Mirounga leonina","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga"
"178","research","Colonia","Physalaemus gracilis","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus"
"179","research","Salto","Rhinella diptycha","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella"
