"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"121","research","Montevideo","Urospermum picroides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Urospermum"
"122","research","Montevideo","Lathyrus nervosus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus"
"123","research","Salto","Carduus nutans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carduus"
"124","research","Montevideo","Helminthotheca echioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Helminthotheca"
"125","research","Montevideo","Baccharis dracunculifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"126","research","Montevideo","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"127","research","Rocha","Trichocline cisplatina","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trichocline"
"128","research","Cerro Largo","Baccharis ochracea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"129","research","Flores","Acacia melanoxylon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"130","research","Paysandú","Lactuca serriola","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca"
"131","research","Paysandú","Melilotus albus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Melilotus"
"132","research","Flores","Aspilia montevidensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Aspilia"
"133","research","Rivera","Lessingianthus macrocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lessingianthus"
"134","research","Rivera","Sommerfeltia cabrerae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sommerfeltia"
"135","research","Maldonado","Senecio pulcher","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"136","research","Artigas","Mimosa uraguensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa"
"137","research","Maldonado","Mutisia coccinea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Mutisia"
"138","research","Cerro Largo","Acanthostyles buniifolius","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthostyles"
"139","research","Rivera","Criscia stricta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Criscia"
