"","user_id","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario","user_login"
"193",1475638,"2019-02-15 01:42:01 UTC","2019-03-11 17:20:02 UTC",8,25.651400462963,0.311873810225328,"principiante","diego013"
"194",1476643,"2019-02-15 18:33:50 UTC","2019-02-15 18:33:50 UTC",1,1,1,"principiante","vernica24"
"195",1477134,"2019-02-21 13:25:06 UTC","2021-01-02 19:21:28 UTC",521,682.247476851852,0.763652512727627,"intermedio","joaco5"
"196",1482030,"2019-02-19 10:08:51 UTC","2022-09-20 18:46:58 UTC",14,1310.35980324074,0.0106840884201237,"principiante","b_ip97"
"197",1483182,"2020-12-29 00:59:04 UTC","2020-12-29 00:59:04 UTC",1,1,1,"principiante","arielprados"
"198",1491252,"2019-02-23 23:56:55 UTC","2019-02-23 23:56:55 UTC",1,1,1,"principiante","nadiagubi"
"199",1500370,"2020-02-03 14:05:48 UTC","2020-02-03 18:52:48 UTC",2,1.19930555555556,1.667631731326,"principiante","soren42"
"200",1501666,"2019-03-01 14:12:46 UTC","2019-03-01 14:12:46 UTC",1,1,1,"principiante","daniela258"
"201",1501673,"2019-03-01 14:12:06 UTC","2019-03-01 14:12:06 UTC",1,1,1,"principiante","tatianamartinez"
"202",1505473,"2022-01-13 20:02:04 UTC","2022-01-13 20:02:04 UTC",1,1,1,"principiante","mararodrguez"
"203",1511361,"2019-03-06 00:16:09 UTC","2019-03-06 00:16:09 UTC",1,1,1,"principiante","ana380"
"204",1513891,"2019-03-07 23:03:03 UTC","2019-03-09 16:06:20 UTC",2,2.71061342592593,0.737840365162662,"principiante","hmaldana"
"205",1519772,"2019-03-11 21:31:53 UTC","2019-03-11 21:31:53 UTC",1,1,1,"principiante","gabriela171"
"206",1521489,"2019-03-17 17:24:29 UTC","2019-07-27 19:23:50 UTC",6,133.082881944444,0.0450846864174816,"principiante","flongo"
"207",1533559,"2019-03-24 22:07:01 UTC","2019-03-24 22:07:01 UTC",1,1,1,"principiante","onovoa"
"208",1537143,"2019-03-18 20:02:23 UTC","2019-03-18 20:02:23 UTC",1,1,1,"principiante","tamara88"
"209",1540249,"2019-03-20 00:26:56 UTC","2019-03-20 00:26:56 UTC",1,1,1,"principiante","carolina120473"
"210",1544741,"2019-03-21 23:50:03 UTC","2019-04-04 19:27:52 UTC",2,14.8179282407407,0.13497163486736,"principiante","shamii"
"211",1546059,"2019-04-25 19:05:31 UTC","2019-04-25 19:05:31 UTC",1,1,1,"principiante","vanessa277"
"212",1553127,"2019-03-25 18:06:17 UTC","2019-03-25 18:11:32 UTC",4,1.00364583333333,3.98546964193046,"principiante","constantina1"
"213",1553169,"2019-04-01 17:46:52 UTC","2019-04-01 17:53:58 UTC",3,1.00493055555556,2.98528090664087,"principiante","ramiro26"
"214",1553175,"2019-04-01 17:25:05 UTC","2019-04-01 17:25:05 UTC",1,1,1,"principiante","fausto17"
"215",1559951,"2019-03-28 13:40:07 UTC","2019-04-04 20:02:40 UTC",2,8.26565972222222,0.241964957089027,"principiante","maxirodriguez"
"216",1560175,"2019-03-28 14:24:23 UTC","2019-03-28 14:24:23 UTC",1,1,1,"principiante","simon201"
"217",1560237,"2019-03-28 14:38:50 UTC","2019-03-28 14:38:50 UTC",1,1,1,"principiante","thegamer1000"
"218",1560256,"2019-03-28 14:47:25 UTC","2019-04-04 20:08:10 UTC",2,8.22274305555555,0.243227836074573,"principiante","valentino13"
"219",1569161,"2019-03-31 21:18:54 UTC","2019-03-31 21:18:54 UTC",1,1,1,"principiante","pauli1"
"220",1569449,"2019-04-08 23:51:48 UTC","2021-01-08 17:10:26 UTC",133,641.721273148148,0.207255089655249,"intermedio","beln15"
"221",1571260,"2019-04-01 18:44:59 UTC","2019-04-01 18:44:59 UTC",1,1,1,"principiante","martin329"
"222",1571882,"2019-04-02 00:44:33 UTC","2019-04-02 00:44:33 UTC",1,1,1,"principiante","xazmin"
"223",1572729,"2019-04-02 11:44:24 UTC","2019-04-02 12:01:26 UTC",3,1.0118287037037,2.96492873647366,"principiante","manuelfernandez1"
"224",1572731,"2019-04-02 11:45:58 UTC","2019-04-02 11:45:58 UTC",1,1,1,"principiante","tapitapark22"
