,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"12474",136603181,"2022-09-24","rpereirag","intermedio",26,"-33.9693683871","-54.0314470891","Rocha","Aves","Cracidae","Penelope obscura",19,"Alta",69,"Grande","LC","LC"
"12475",136603183,"2022-09-25","rpereirag","intermedio",26,"-33.9694840586","-54.0314685467","Rocha","Aves","Threskiornithidae","Theristicus caerulescens",19,"Alta",62,"Grande","LC","LC"
"12476",136603189,"2022-09-24","rpereirag","intermedio",26,"-33.8542666929","-53.8768510664","Rocha","Aves","Tyrannidae","Pyrocephalus rubinus",19,"Alta",13,"Pequeño","LC","LC"
"12477",136603196,"2022-09-25","rpereirag","intermedio",26,"-33.974322592","-54.042989888","Rocha","Aves","Tinamidae","Nothura maculosa",19,"Alta",25,"Mediano","LC","LC"
"12478",136603198,"2022-09-25","rpereirag","intermedio",26,"-34.0332864808","-54.0720104346","Rocha","Aves","Thraupidae","Paroaria coronata",19,"Alta",17,"Pequeño","LC","LC"
"12479",136603202,"2022-09-25","rpereirag","intermedio",26,"-34.0332256191","-54.0705612579","Rocha","Aves","Thraupidae","Sicalis flaveola",19,"Alta",12,"Pequeño","LC","LC"
"12480",136603203,"2022-09-25","rpereirag","intermedio",26,"-33.9892462597","-53.9644171214","Rocha","Aves","Tyrannidae","Xolmis irupero",19,"Alta",17,"Pequeño","LC","LC"
"12481",136604202,"2022-09-24","rpereirag","intermedio",26,"-33.9688487765","-54.030726779","Rocha","Aves","Furnariidae","Cranioleuca pyrrhophia",19,"Alta",14,"Pequeño","LC","LC"
"12482",136632782,"2022-09-21","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Tyrannidae","Pyrocephalus rubinus",19,"Alta",13,"Pequeño","LC","LC"
"12483",136632783,"2022-09-21","batitu","intermedio",13,"-32.0251999292","-53.9175536721","Cerro Largo","Aves","Thraupidae","Emberizoides ypiranganus",12,"Media",16,"Pequeño","VU","LC"
"12484",136632784,"2022-09-21","batitu","intermedio",13,"-32.068625274","-53.8539490354","Cerro Largo","Aves","Icteridae","Xanthopsar flavus",12,"Media",19,"Pequeño","VU","VU"
"12485",136632785,"2022-09-21","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Columbidae","Patagioenas cayennensis",10,"Media",30,"Mediano","DD","LC"
"12486",136632786,"2022-09-21","batitu","intermedio",13,"-32.1388375006","-53.9039681405","Cerro Largo","Aves","Tyrannidae","Heteroxolmis dominicana",17,"Alta",19,"Pequeño","VU","VU"
"12487",136632787,"2022-09-22","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Tinamidae","Nothura maculosa",19,"Alta",25,"Mediano","LC","LC"
"12488",136632789,"2022-09-22","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Thraupidae","Poospiza nigrorufa",19,"Alta",13,"Pequeño","LC","LC"
"12489",136632790,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Thraupidae","Stilpnia preciosa",17,"Alta",15,"Pequeño","LC","LC"
"12490",136632791,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Thamnophilidae","Mackenziaena leachii",1,"Baja",25,"Mediano","NE","LC"
"12491",136632792,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Accipitridae","Accipiter bicolor",11,"Media",35,"Mediano","LC","LC"
"12492",136632793,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Furnariidae","Furnarius rufus",19,"Alta",18,"Pequeño","LC","LC"
"12493",136632794,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Tyrannidae","Knipolegus cyanirostris",19,"Alta",14,"Pequeño","LC","LC"
"12494",136632798,"2022-09-23","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Mammalia","Canidae","Lycalopex gymnocercus",19,"Alta",97,"Mediano","NT","LC"
"12495",136632799,"2022-09-22","batitu","intermedio",13,"-32.142282","-53.730612","Cerro Largo","Aves","Thraupidae","Tachyphonus coronatus",5,"Baja",16,"Pequeño","NE","LC"
"12496",136646575,"2022-05-14","leila155","intermedio",72,"-34.7903355091","-56.3506274298","Montevideo","Aves","Furnariidae","Furnarius rufus",19,"Alta",18,"Pequeño","LC","LC"
"12497",136646639,"2022-05-20","leila155","intermedio",72,"-34.785767701","-56.3522655889","Montevideo","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
"12498",136646733,"2022-05-28","leila155","intermedio",72,"-34.7865971667","-56.3487505","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
"12499",136646748,"2022-09-25","leila155","intermedio",72,"-31.3596910833","-55.9850796111","Tacuarembó","Aves","Thraupidae","Paroaria coronata",19,"Alta",17,"Pequeño","LC","LC"
"12500",136652578,"2022-09-25","leila155","intermedio",72,"-31.6666278629","-56.3000000641","Tacuarembó","Aves","Thraupidae","Thraupis sayaca",19,"Alta",15,"Pequeño","LC","LC"
"12501",136684584,"2022-09-22","lurtri","intermedio",28,"-34.2553306417","-53.9792789546","Rocha","Mammalia","Dasypodidae","Dasypus septemcinctus",19,"Alta",45,"Pequeño","NE","LC"
"12502",136731329,"2022-09-24","rodrigomontiel","principiante",130,"-34.894271","-56.179707","Montevideo","Aves","Turdidae","Turdus rufiventris",19,"Alta",23,"Mediano","LC","LC"
"12503",136752702,"2022-09-27","santiagomailhos","experimentado",1,"-32.5229704686","-58.0428419404","Río Negro","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
"12504",136753645,"2022-09-27","santiagomailhos","experimentado",1,"-32.5146107412","-58.044341227","Río Negro","Aves","Anatidae","Dendrocygna viduata",19,"Alta",42,"Mediano","LC","LC"
"12505",136753820,"2022-09-27","santiagomailhos","experimentado",1,"-32.5145919869","-58.0443613994","Río Negro","Aves","Anatidae","Spatula versicolor",19,"Alta",37,"Mediano","LC","LC"
"12506",136753991,"2022-09-27","santiagomailhos","experimentado",1,"-32.5146330847","-58.0443746252","Río Negro","Aves","Anatidae","Amazonetta brasiliensis",19,"Alta",36,"Mediano","LC","LC"
"12507",136777205,"2022-03-01","santiagoramos","intermedio",15,"-34.772954606","-55.9019973151","Canelones","Aves","Scolopacidae","Tringa flavipes",19,"Alta",25,"Mediano","LC","LC"
"12508",136777206,"2022-01-22","santiagoramos","intermedio",15,"-34.7672509281","-55.9218523467","Canelones","Aves","Furnariidae","Furnarius rufus",19,"Alta",18,"Pequeño","LC","LC"
"12509",136792355,"2022-09-25","leila155","intermedio",72,"-31.3597664722","-55.9850533611","Tacuarembó","Aves","Thraupidae","Rauenia bonariensis",19,"Alta",17,"Pequeño","LC","LC"
"12510",136807448,"2022-09-27","pablosoteloubilla","principiante",603,"-32.9063120008","-54.5190144571","Treinta y Tres","Reptilia","Elapidae","Micrurus altirostris",19,"Alta",90,"Mediano","LC","NE"
"12511",136829742,"2022-09-26","pablobaldu","experimentado",9,"-34.8673649669","-56.0629419052","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
